num_regular_instances,num_regular_services,ds,num_illfitting_instances,num_illfitting_services,num_regular_deprecation,num_illfitting_deprecation,num_regular_creation,num_illfitting_creation
9936185,7208,2022-08-28,741349,9588,5,468,0,386
9379193,6934,2022-05-04,576853,7882,16,416,6,454
7999046,5686,2021-05-29,263685,10638,0,141,2,622
10821891,7423,2022-11-21,1044513,11570,4,232,3,42
10594847,7399,2022-10-23,975308,11601,4,364,1,296
10822133,7428,2022-11-20,1063969,11683,2,105,3,17
8157075,5874,2021-07-31,350726,10242,2,113,18,79
9005871,6536,2022-02-26,362980,5585,0,264,3,258
9459432,7014,2022-07-04,639421,9372,3,375,2,476
8251472,6085,2021-08-29,412237,10383,4,10,0,133
10091086,7202,2022-09-20,760826,9132,2,344,15,368
7776259,5809,2021-07-22,364627,9940,15,92,14,171
7976520,5706,2021-05-12,279639,8029,11,225,17,436
9181003,6875,2022-04-25,545769,8016,5,364,28,325
9007255,6546,2022-02-21,367762,5749,3,265,3,269
